УКПЗЭ
Тип,Номер,Пауза самозапуска
УКПЗЭ-2,615,10
УКПЗЭ-2,617,10
УКПЗЭ-2,621,10
УКПЗЭ-1,373,10
УКПЗЭ-1,379,10
УКПЗЭ-1,384,6
УКПЗЭ-1,374,4
УКПЗЭ-1,376,6
УКПЗЭ-1,375,0
УКПЗЭ-1,388,4
УКПЗЭ-1,385,6
УКПЗЭ-1,380,4
УКПЗЭ-1,418,4
УКПЗЭ-1,439,4
УКПЗЭ-1,372,6
УКПЗЭ-1,383,6
УКПЗЭ-2,636,3
УКПЗЭ-1,381,6
УКПЗЭ-1,382,0
УКПЗЭ-1,386,8
УКПЗЭ-1,395,2
УКПЗЭ-1,424,2
УКПЗЭ-1,415,4
УКПЗЭ-1,273,6
УКПЗЭ-1,284,4
УКПЗЭ-1,274,6
УКПЗЭ-1,285,4
УКПЗЭ-1,271,2
УКПЗЭ-1,282,2
УКПЗЭ-1,272,1
УКПЗЭ-1,208,2
УКПЗЭ-1,286,6
УКПЗЭ-1,298,8
УКПЗЭ-1,419,2
УКПЗЭ-1,291,2
УКПЗЭ-1,196,2
УКПЗЭ-1,280,2
УКПЗЭ-2,664,0
УКПЗЭ-1,294,6
УКПЗЭ-1,515,6
УКПЗЭ-1,276,0
УКПЗЭ-1,289,0
УКПЗЭ-1,299,10
УКПЗЭ-1,197,10
УКПЗЭ-1,281,6
УКПЗЭ-1,283,6
УКПЗЭ-1,199,2
УКПЗЭ-1,276,0
УКПЗЭ-1,278,8
УКПЗЭ-1,198,4
УКПЗЭ-1,300,2
УКПЗЭ-1,295,2
УКПЗЭ-1,287,8
УКПЗЭ-1,200,4
УКПЗЭ-1,301,4
УКПЗЭ-1,480,4
УКПЗЭ-1,290,2
БКЗЭ
Тип,Номер,Значение номинального тока,Время срабатывания Iвтз,Значение тока заклинивания Iзкл,Время срабатывания Iзкл,Блокировка защиты
